Country,Year,chw_#
Australia,2006,1012
Bangladesh,2018,55136
Belize,2009,158
Bhutan,2012,578
Botswana,2012,166
Brazil,2017,436590
Burkina Faso,2017,2749
Burundi,2004,548
Cambodia,2004,1638
Cameroon,2011,367
Central African Republic,2009,1713
Chad,2004,154
China,2011,1126443
Cook Islands,2009,9
Costa Rica,2016,1357
Ecuador,2015,1054
Egypt,2018,963
El Salvador,2016,5419
Equatorial Guinea,2004,308
Eswatini,2004,4000
Ethiopia,2009,30950
Gambia,2008,1150
Ghana,2017,15456
Greece,2011,260
Grenada,2003,45
Guinea,2016,6700
Guinea-Bissau,2004,2355
Guyana,2010,245
Honduras,2016,7114
India,2018,970676
Iran (Islamic Republic of),2004,25242
Jamaica,2016,893
Kenya,2018,58079
Malawi,2018,9928
Maldives,2014,509
Mali,2010,110
Marshall Islands,2010,53
Mauritania,2018,500
Mauritius,2011,187
Micronesia (Federated States of),2008,31
Mongolia,2016,302
Mozambique,2018,4787
Myanmar,2015,2326
Nauru,2015,17
Nepal,2004,16206
Nigeria,2018,116454
Pakistan,2015,16448
Papua New Guinea,2018,4469
Romania,2011,16170
Saint Kitts and Nevis,2001,48
Saint Vincent and the Grenadines,2000,45
Sao Tome and Principe,2004,150
Saudi Arabia,2018,4627
Senegal,2017,5
Serbia,2016,887
Sierra Leone,2016,621
Slovakia,2013,100
Sudan,2004,4716
Thailand,2018,1064434
Timor-Leste,2013,241
Togo,2018,7086
Vanuatu,2008,212
Yemen,2010,19
Zambia,2018,221
Zimbabwe,2018,15888
