Country Name,Country Code,NY.GNP.PCAP.PP.CD_2018
Aruba,ABW,
Afghanistan,AFG,1970
Angola,AGO,6170
Albania,ALB,13350
Andorra,AND,
Arab World,ARB,17653.71554
United Arab Emirates,ARE,75440
Argentina,ARG,19870
Armenia,ARM,10480
American Samoa,ASM,
Antigua and Barbuda,ATG,25490
Australia,AUS,50050
Austria,AUT,55300
Azerbaijan,AZE,17100
Burundi,BDI,750
Belgium,BEL,51740
Benin,BEN,2410
Burkina Faso,BFA,1970
Bangladesh,BGD,4570
Bulgaria,BGR,22300
Bahrain,BHR,44700
"Bahamas, The",BHS,30330
Bosnia and Herzegovina,BIH,14580
Belarus,BLR,19240
Belize,BLZ,7810
Bermuda,BMU,
Bolivia,BOL,7670
Brazil,BRA,15850
Barbados,BRB,16280
Brunei Darussalam,BRN,82180
Bhutan,BTN,9250
Botswana,BWA,18000
Central African Republic,CAF,920
Canada,CAN,47590
Central Europe and the Baltics,CEB,30149.77907
Switzerland,CHE,68820
Channel Islands,CHI,
Chile,CHL,24190
China,CHN,18170
Cote d'Ivoire,CIV,4020
Cameroon,CMR,3700
"Congo, Dem. Rep.",COD,900
"Congo, Rep.",COG,5060
Colombia,COL,14480
Comoros,COM,2930
Cabo Verde,CPV,7280
Costa Rica,CRI,16700
Caribbean small states,CSS,15358.76106
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,39880
Czech Republic,CZE,37530
Germany,DEU,54560
Djibouti,DJI,
Dominica,DMA,10270
Denmark,DNK,56410
Dominican Republic,DOM,16950
Algeria,DZA,
East Asia & Pacific (excluding high income),EAP,16026.21466
Early-demographic dividend,EAR,10335.93162
East Asia & Pacific,EAS,19320.36421
Europe & Central Asia (excluding high income),ECA,21369.62247
Europe & Central Asia,ECS,34469.69719
Ecuador,ECU,11420
"Egypt, Arab Rep.",EGY,12100
Euro area,EMU,46544.07744
Eritrea,ERI,
Spain,ESP,39800
Estonia,EST,34970
Ethiopia,ETH,2010
European Union,EUU,43464.13035
Fragile and conflict affected situations,FCS,4684.824095
Finland,FIN,48580
Fiji,FJI,10140
France,FRA,46360
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3640
Gabon,GAB,16700
United Kingdom,GBR,45350
Georgia,GEO,11500
Ghana,GHA,4650
Gibraltar,GIB,
Guinea,GIN,2460
"Gambia, The",GMB,2570
Guinea-Bissau,GNB,1800
Equatorial Guinea,GNQ,17460
Greece,GRC,29670
Grenada,GRD,14100
Greenland,GRL,
Guatemala,GTM,8310
Guam,GUM,
Guyana,GUY,8420
High income,HIC,50985.75024
"Hong Kong SAR, China",HKG,67810
Honduras,HND,4790
Heavily indebted poor countries (HIPC),HPC,2457.482944
Croatia,HRV,27180
Haiti,HTI,1880
Hungary,HUN,29860
IBRD only,IBD,14555.84755
IDA & IBRD total,IBT,11862.75154
IDA total,IDA,4076.960449
IDA blend,IDB,5622.671405
Indonesia,IDN,12670
IDA only,IDX,3278.001505
Isle of Man,IMN,
India,IND,7680
Not classified,INX,
Ireland,IRL,67050
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,17210
Iceland,ISL,55190
Israel,ISR,39940
Italy,ITA,42290
Jamaica,JAM,8900
Jordan,JOR,9430
Japan,JPN,44380
Kazakhstan,KAZ,24450
Kenya,KEN,3440
Kyrgyz Republic,KGZ,3780
Cambodia,KHM,4070
Kiribati,KIR,4410
St. Kitts and Nevis,KNA,28530
"Korea, Rep.",KOR,40090
Kuwait,KWT,84250
Latin America & Caribbean (excluding high income),LAC,15615.27773
Lao PDR,LAO,7090
Lebanon,LBN,13010
Liberia,LBR,1130
Libya,LBY,21340
St. Lucia,LCA,12990
Latin America & Caribbean,LCN,16083.10775
Least developed countries: UN classification,LDC,3018.750549
Low income,LIC,2361.039623
Liechtenstein,LIE,
Sri Lanka,LKA,13110
Lower middle income,LMC,7607.914709
Low & middle income,LMY,11666.23632
Lesotho,LSO,3680
Late-demographic dividend,LTE,18765.85807
Lithuania,LTU,34320
Luxembourg,LUX,72200
Latvia,LVA,29780
"Macao SAR, China",MAC,113800
St. Martin (French part),MAF,
Morocco,MAR,8430
Monaco,MCO,
Moldova,MDA,7620
Madagascar,MDG,1840
Maldives,MDV,14110
Middle East & North Africa,MEA,20820.89242
Mexico,MEX,19340
Marshall Islands,MHL,5090
Middle income,MIC,12834.04723
North Macedonia,MKD,15670
Mali,MLI,2260
Malta,MLT,39230
Myanmar,MMR,6500
Middle East & North Africa (excluding high income),MNA,
Montenegro,MNE,20930
Mongolia,MNG,12500
Northern Mariana Islands,MNP,
Mozambique,MOZ,1430
Mauritania,MRT,4120
Mauritius,MUS,26080
Malawi,MWI,1310
Malaysia,MYS,30650
North America,NAC,62055.37321
Namibia,NAM,10870
New Caledonia,NCL,
Niger,NER,1040
Nigeria,NGA,5710
Nicaragua,NIC,5400
Netherlands,NLD,56890
Norway,NOR,68310
Nepal,NPL,3110
Nauru,NRU,20940
New Zealand,NZL,39410
OECD members,OED,45874.58373
Oman,OMN,41680
Other small states,OSS,26388.74744
Pakistan,PAK,5860
Panama,PAN,23550
Peru,PER,13710
Philippines,PHL,10740
Palau,PLW,19510
Papua New Guinea,PNG,4220
Poland,POL,30010
Pre-demographic dividend,PRE,3845.550845
Puerto Rico,PRI,26610
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,32680
Paraguay,PRY,13220
West Bank and Gaza,PSE,6000
Pacific island small states,PSS,6196.921163
Post-demographic dividend,PST,49194.02781
French Polynesia,PYF,
Qatar,QAT,124410
Romania,ROU,27520
Russian Federation,RUS,26900
Rwanda,RWA,2200
South Asia,SAS,7073.523902
Saudi Arabia,SAU,55840
Sudan,SDN,4430
Senegal,SEN,3670
Singapore,SGP,94670
Solomon Islands,SLB,2320
Sierra Leone,SLE,1490
El Salvador,SLV,7860
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,16540
Sub-Saharan Africa (excluding high income),SSA,3845.449642
South Sudan,SSD,
Sub-Saharan Africa,SSF,3847.718727
Small states,SST,23156.40671
Sao Tome and Principe,STP,3440
Suriname,SUR,13820
Slovak Republic,SVK,33060
Slovenia,SVN,37450
Sweden,SWE,54030
Eswatini,SWZ,10640
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,29120
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,24580
Chad,TCD,1930
East Asia & Pacific (IDA & IBRD countries),TEA,16194.70296
Europe & Central Asia (IDA & IBRD countries),TEC,22135.01854
Togo,TGO,1780
Thailand,THA,18200
Tajikistan,TJK,4050
Turkmenistan,TKM,18490
Latin America & the Caribbean (IDA & IBRD countries),TLA,16068.42475
Timor-Leste,TLS,7010
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,6520
South Asia (IDA & IBRD),TSA,7073.523902
Sub-Saharan Africa (IDA & IBRD countries),TSS,3847.718727
Trinidad and Tobago,TTO,30980
Tunisia,TUN,12070
Turkey,TUR,27640
Tuvalu,TUV,6100
Tanzania,TZA,3140
Uganda,UGA,1970
Ukraine,UKR,9030
Upper middle income,UMC,18762.49808
Uruguay,URY,21940
United States,USA,63690
Uzbekistan,UZB,8810
St. Vincent and the Grenadines,VCT,12160
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,6930
Vanuatu,VUT,3250
World,WLD,17896.07374
Samoa,WSM,6260
Kosovo,XKX,11540
"Yemen, Rep.",YEM,
South Africa,ZAF,13250
Zambia,ZMB,4100
Zimbabwe,ZWE,3020
